_ORGANIZATION_ENTITY_URN,FIVETRAN_SYNCED,FOLLOWER_COUNTS_ORGANIC_FOLLOWER_COUNT,FOLLOWER_COUNTS_PAID_FOLLOWER_COUNT
urn:li:organization:18124695,2023-04-04,8,0
urn:li:organization:37930,2023-04-04,25,0
urn:li:organization:25736,2023-04-04,5060,0
urn:li:organization:25736,2023-04-04,14,0
urn:li:organizationBrand:28978119,2023-04-04,1,0
urn:li:organization:10043,2023-04-04,64,0
urn:li:organization:10043,2023-04-04,18,0
urn:li:organization:18124695,2023-04-04,54,0
urn:li:organizationBrand:28981048,2023-04-04,3,0
urn:li:organization:10043,2023-04-04,38,0
urn:li:organization:25736,2023-04-04,15,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
urn:li:organization:25736,2023-04-04,31,0
urn:li:organizationBrand:28981048,2023-04-04,2,0
urn:li:organization:37930,2023-04-04,4,0
urn:li:organization:37930,2023-04-04,9,0
urn:li:organization:10043,2023-04-04,40,0
urn:li:organization:10043,2023-04-04,39800,0
urn:li:organization:37930,2023-04-04,12,0
urn:li:organizationBrand:25736,2023-04-04,78,0
urn:li:organization:37930,2023-04-04,165,0
urn:li:organizationBrand:25736,2023-04-04,8,0
urn:li:organizationBrand:28978119,2023-04-04,1,0
urn:li:organizationBrand:28978119,2023-04-04,2,0
urn:li:organization:25736,2023-04-04,41,0
urn:li:organization:18124695,2023-04-04,13,0
urn:li:organization:37930,2023-04-04,16,0
urn:li:organization:18124695,2023-04-04,9,0
urn:li:organizationBrand:28978119,2023-04-04,1,0
urn:li:organization:37930,2023-04-04,10,0
urn:li:organizationBrand:28978119,2023-04-04,63,0
urn:li:organization:10043,2023-04-04,40,0
urn:li:organization:10043,2023-04-04,28,0
urn:li:organizationBrand:28981048,2023-04-04,10,0
urn:li:organizationBrand:25736,2023-04-04,106,0
urn:li:organization:18124695,2023-04-04,2,0
urn:li:organization:10043,2023-04-04,485,0
urn:li:organizationBrand:25736,2023-04-04,23,0
urn:li:organizationBrand:28978119,2023-04-04,2,0
urn:li:organization:25736,2023-04-04,68,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
urn:li:organization:25736,2023-04-04,46,0
urn:li:organization:25736,2023-04-04,170,0
urn:li:organization:37930,2023-04-04,3,0
urn:li:organization:18124695,2023-04-04,9,0
urn:li:organization:28981048,2023-04-04,1,0
urn:li:organization:28981048,2023-04-04,1,0
urn:li:organization:28981048,2023-04-04,1,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,2,0
urn:li:organization:1757770,2023-05-25,2,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,380,0
urn:li:organization:1757770,2023-05-25,8,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,2,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,5,0
urn:li:organization:1757770,2023-05-25,2,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,9,0
urn:li:organization:1757770,2023-05-25,2,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,4,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,6,0
urn:li:organization:1757770,2023-05-25,4,0
urn:li:organization:1757770,2023-05-25,18,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,6,0
