_SHARE_ENTITY_URN,_ORGANIZATION_ENTITY_URN,ENGAGEMENT,SHARE_COUNT,CLICK_COUNT,LIKE_COUNT,IMPRESSION_COUNT,COMMENT_COUNT,_FIVETRAN_ID,_FIVETRAN_SYNCED
urn:li:share:7024451218563338240,urn:li:organization:52118064,0.02631578947,0,8,16,912,0,WQubwgKxX0S/AMFMW++VvkOw29s=,2023-09-16
urn:li:share:7084531981518073856,urn:li:organization:52118064,0.0181598063,0,9,6,826,0,aO0SniyCCehwKVmtuimQxIRMsak=,2023-09-16
urn:li:share:7003058686772350976,urn:li:organization:52118064,0.03020496224,0,18,11,927,0,5olSUTF1RhMAmCah8JczeKMyrM0=,2023-09-16
urn:li:share:6985652335997829121,urn:li:organization:52118064,0.04593175853,0,11,24,762,0,jrz2cCGBVTj32p8BIPWW4l6EyAc=,2023-09-16
urn:li:share:7011073777300123648,urn:li:organization:52118064,0.1007594937,0,157,41,1975,1,lAWnuO+J7Ijv0it0R612p9rgg38=,2023-09-16
urn:li:share:7010333098097721344,urn:li:organization:52118064,0.02071005917,0,8,6,676,0,KH0Io/OFuc0kKq+svDBAGHvR3aA=,2023-09-16
urn:li:share:7019759953678659584,urn:li:organization:52118064,0.0520204366,6,38,66,2153,2,Vab1FdxzqeJJ14vQenB9xjvS3xs=,2023-09-16
urn:li:share:7061390320638332928,urn:li:organization:52118064,0.01685393258,0,5,7,712,0,NSZMP7aftQwL2yWEaGNmwXmiu78=,2023-09-16
urn:li:share:7081934781608849408,urn:li:organization:52118064,0.06453759148,0,56,40,1503,1,elyolYHt/o9IVuC+DzoPyB4zX4s=,2023-09-16
urn:li:share:6986807408211755008,urn:li:organization:52118064,0.03405572755,0,16,18,969,0,8MxcaIVcp8lgsJzoeCsee4tF48U=,2023-09-16
urn:li:share:7093365080003641344,urn:li:organization:52118064,0.0353798127,0,25,9,961,0,NOWFEwZLJfJttzY4QUMyx1b1iGM=,2023-09-16
